trial, person, eye, t0, x, y
87,0,R,932,451.5,413.1
87,0,R,1048,464.3,405.3
87,0,X,1208,450.0,450.0
88,0,R,-117,1063.8,414.1
88,0,R,183,1107.0,615.9
88,0,X,879,1080.0,660.0
89,0,R,-112,799.5,272.9
89,0,R,216,773.3,838.0
89,0,R,328,809.1,790.5
89,0,X,988,790.0,835.0
90,0,R,-120,802.1,276.4
90,0,R,348,1375.3,1008.7
90,0,R,528,1417.2,1010.6
90,0,X,1340,1370.0,1060.0
91,0,R,-118,871.6,431.5
91,0,R,222,772.3,813.0
91,0,R,430,810.1,792.2
91,0,X,1358,790.0,835.0
92,0,R,-117,823.9,784.7
92,0,R,123,938.4,353.1
92,0,R,267,1592.9,618.4
92,0,R,439,1626.7,657.6
92,0,X,1935,1580.0,710.0
93,0,R,-124,991.1,396.4
93,0,R,188,272.5,198.5
93,0,R,296,236.0,122.4
93,0,R,444,229.1,84.5
93,0,X,1432,220.0,130.0
94,0,R,-110,1175.6,458.7
94,0,R,166,1091.6,636.4
94,0,R,294,1114.3,609.9
94,0,X,1038,1080.0,660.0
95,0,R,-120,979.5,340.9
95,0,R,184,883.9,157.5
95,0,R,420,874.3,157.3
95,0,R,532,896.1,148.8
95,0,R,752,891.1,142.6
95,0,X,1156,870.0,235.0
96,0,R,-119,1101.2,436.9
96,0,R,117,1087.5,916.8
96,0,R,269,379.9,901.8
96,0,R,537,360.8,937.6
96,0,R,1281,352.8,927.8
96,0,R,1489,362.7,926.8
96,0,X,2181,395.0,925.0
97,0,R,-111,1108.2,503.0
97,0,R,157,1289.6,337.0
97,0,R,285,1295.1,293.8
97,0,R,581,1297.8,300.6
97,0,X,1173,1290.0,310.0
98,0,R,-117,1243.5,732.4
98,0,R,175,1554.9,271.1
98,0,R,283,1614.2,188.5
98,0,R,423,1644.8,128.3
98,0,X,2037,1630.0,135.0
99,0,R,-122,903.6,444.8
99,0,R,162,480.2,481.0
99,0,R,282,431.2,465.0
99,0,R,786,444.7,449.3
99,0,X,1106,450.0,450.0
100,0,R,-118,981.5,463.6
100,0,R,210,1040.4,713.9
100,0,R,330,1070.2,682.2
100,0,R,518,1076.8,660.2
100,0,X,942,1080.0,660.0
101,0,R,-116,849.7,355.0
101,0,R,224,1606.7,205.0
101,0,R,344,1646.8,135.0
101,0,X,1264,1630.0,135.0
102,0,R,-111,605.2,580.3
102,0,R,165,812.9,302.4
102,0,R,277,862.5,214.8
102,0,X,1389,870.0,235.0
103,0,R,-120,980.4,439.0
103,0,R,160,782.0,805.9
103,0,R,1264,936.0,365.6
103,0,X,1308,790.0,835.0
104,0,R,59,715.9,202.3
104,0,R,219,254.0,93.1
104,0,R,379,243.7,67.3
104,0,R,871,216.4,52.0
104,0,R,979,240.6,50.3
104,0,X,1447,220.0,130.0
105,0,R,-111,1061.7,375.7
105,0,R,85,722.8,643.8
105,0,R,217,472.3,422.9
105,0,R,649,465.4,416.4
105,0,R,1537,462.9,478.4
105,0,X,1541,450.0,450.0
106,0,R,-118,955.7,319.5
106,0,R,142,1318.2,300.7
106,0,R,270,1356.0,284.1
106,0,R,478,1346.1,255.6
106,0,X,1038,1290.0,310.0
107,0,R,-120,414.5,376.8
107,0,R,196,1330.5,877.8
107,0,R,332,1407.1,1049.3
107,0,R,624,1421.3,1081.0
107,0,R,1756,1175.5,862.0
107,0,R,1796,1193.2,829.8
107,0,X,1764,1370.0,1060.0
108,0,R,-107,432.2,128.5
108,0,R,205,1531.1,571.9
108,0,R,329,1617.9,580.9
108,0,R,781,1597.0,564.2
108,0,X,1429,1580.0,710.0
109,0,R,-113,833.5,149.6
109,0,R,207,403.1,656.4
109,0,R,331,421.5,730.2
109,0,X,1380,395.0,925.0
110,0,R,-112,924.7,87.3
110,0,R,196,890.5,91.5
110,0,X,1013,870.0,235.0
111,0,R,-113,1050.6,448.4
111,0,R,171,443.6,398.5
111,0,R,283,473.3,358.5
111,0,R,563,470.1,347.7
111,0,X,932,450.0,450.0
112,0,R,-110,1120.8,268.2
112,0,R,198,1114.2,616.0
112,0,X,991,1080.0,660.0
113,0,R,-119,921.6,401.4
113,0,R,221,1363.4,1036.9
113,0,R,369,1417.3,1018.5
113,0,R,1273,1035.3,319.7
113,0,X,1270,1370.0,1060.0
114,0,R,-122,888.3,266.6
114,0,R,106,733.1,309.7
114,0,R,262,761.6,806.1
114,0,R,402,808.6,792.1
114,0,X,1147,790.0,835.0
115,0,R,-112,938.4,390.8
115,0,R,148,1469.0,500.9
115,0,R,260,1633.4,661.6
115,0,R,532,1627.5,673.0
115,0,X,1797,1580.0,710.0
116,0,R,-113,922.4,169.2
116,0,R,83,728.4,693.7
116,0,R,215,1352.8,327.0
116,0,R,339,1345.3,272.8
116,0,R,579,1343.8,252.5
116,0,X,900,1290.0,310.0
117,0,R,-124,812.1,384.6
117,0,R,184,417.4,868.6
117,0,R,304,400.2,903.9
117,0,X,823,395.0,925.0
118,0,R,-117,809.6,253.3
118,0,R,199,230.1,143.7
118,0,R,315,242.2,99.7
118,0,X,726,220.0,130.0
119,0,R,-114,1068.9,568.3
119,0,R,202,1575.9,203.2
119,0,R,306,1669.8,119.9
119,0,R,470,1683.4,66.7
119,0,X,1177,1630.0,135.0
120,0,R,-113,714.3,540.1
120,0,R,191,815.4,809.4
120,0,R,387,811.9,796.3
120,0,R,795,775.8,227.4
120,0,X,738,790.0,835.0
121,0,R,-119,815.9,191.0
121,0,R,217,384.7,876.7
121,0,R,361,404.6,891.8
121,0,X,980,395.0,925.0
122,0,R,-111,818.2,245.1
122,0,R,185,234.4,149.9
122,0,R,285,248.3,107.6
122,0,R,453,232.4,93.4
122,0,R,633,245.2,84.7
122,0,X,1052,220.0,130.0
123,0,R,-121,1131.3,518.3
123,0,R,179,1621.3,701.2
123,0,R,347,1631.1,664.3
123,0,R,1191,561.3,237.5
123,0,X,1122,1580.0,710.0
124,0,R,-119,395.6,82.6
124,0,R,261,1631.6,143.7
124,0,R,409,1687.2,70.1
124,0,R,1665,1683.6,65.6
124,0,X,2524,1630.0,135.0
125,0,R,-118,836.2,521.7
125,0,R,158,1119.7,613.3
125,0,X,1325,1080.0,660.0
126,0,R,-115,1012.2,219.7
126,0,R,149,898.2,185.0
126,0,X,1304,870.0,235.0
127,0,R,-122,1099.9,416.3
127,0,R,170,484.4,458.8
127,0,R,298,471.8,400.2
127,0,X,1307,450.0,450.0
128,0,R,-119,1119.7,873.9
128,0,R,169,1446.6,1034.0
128,0,R,301,1428.1,1023.9
128,0,R,757,1431.8,1008.1
128,0,X,1038,1370.0,1060.0
129,0,R,-17,1610.3,19.4
129,0,R,179,1304.1,227.5
129,0,R,299,1343.6,233.2
129,0,X,1036,1290.0,310.0
130,0,R,-121,912.0,689.0
130,0,R,235,1652.2,689.3
130,0,R,387,1646.2,661.8
130,0,R,971,1617.2,652.0
130,0,R,1075,1639.4,653.1
130,0,X,1666,1580.0,710.0
131,0,R,-109,1017.9,359.5
131,0,R,203,254.0,143.4
131,0,R,319,248.2,64.8
131,0,X,1566,220.0,130.0
132,0,R,-124,1005.4,552.3
132,0,R,156,1143.2,599.0
132,0,R,352,1124.3,597.9
132,0,X,967,1080.0,660.0
133,0,R,-124,921.2,257.7
133,0,R,152,910.3,182.3
133,0,R,332,913.2,153.9
133,0,X,759,870.0,235.0
134,0,R,-82,1376.5,647.6
134,0,R,178,495.5,528.8
134,0,R,282,510.0,438.7
134,0,R,370,466.9,405.8
134,0,X,1121,450.0,450.0
135,0,R,-120,1266.0,355.4
135,0,R,184,1638.2,109.6
135,0,R,316,1683.5,74.8
135,0,R,672,1686.1,61.6
135,0,X,1163,1630.0,135.0
136,0,R,-111,748.3,407.0
136,0,R,169,1119.5,377.0
136,0,R,237,1350.7,244.9
136,0,R,937,1328.2,230.2
136,0,R,1049,1346.5,225.6
136,0,X,1245,1290.0,310.0
137,0,R,-113,678.4,302.8
137,0,R,183,798.7,707.9
137,0,R,323,807.4,772.2
137,0,R,627,827.6,772.1
137,0,R,843,808.7,767.9
137,0,R,1011,822.0,758.8
137,0,X,1107,790.0,835.0
138,0,R,-118,775.5,221.0
138,0,R,230,1346.8,866.8
138,0,R,346,1425.5,983.3
138,0,X,1502,1370.0,1060.0
139,0,R,-123,966.1,249.5
139,0,R,221,356.6,889.8
139,0,R,345,418.1,886.2
139,0,R,765,392.1,887.0
139,0,R,873,417.4,881.4
139,0,R,1445,762.3,319.2
139,0,X,1417,395.0,925.0
140,0,R,-124,788.8,291.2
140,0,R,184,261.2,122.9
140,0,R,304,246.8,68.3
140,0,X,1392,220.0,130.0
141,0,R,-119,1011.3,407.3
141,0,R,161,1131.7,591.2
141,0,X,871,1080.0,660.0
142,0,R,-120,951.8,264.1
142,0,R,184,1574.3,572.1
142,0,R,300,1631.9,643.6
142,0,R,508,1641.1,649.8
142,0,X,1716,1580.0,710.0
143,0,R,-109,867.1,250.9
143,0,R,151,912.8,147.0
143,0,X,855,870.0,235.0
144,0,R,-120,934.3,465.8
144,0,R,192,1584.4,180.7
144,0,R,304,1671.2,76.2
144,0,R,440,1701.0,39.4
144,0,R,904,1697.8,30.8
144,0,X,1380,1630.0,135.0
145,0,R,-112,915.5,381.9
145,0,R,204,402.5,837.4
145,0,R,344,428.3,874.7
145,0,R,636,440.1,863.0
145,0,R,772,421.2,863.3
145,0,X,1068,395.0,925.0
146,0,R,125,1045.7,262.1
146,0,R,269,1370.1,222.4
146,0,X,1217,1290.0,310.0
147,0,R,-108,985.7,246.5
147,0,R,288,1431.4,956.6
147,0,R,416,1424.9,972.0
147,0,R,1424,1081.9,395.7
147,0,X,1440,1370.0,1060.0
148,0,R,-120,917.0,295.1
148,0,R,80,657.1,259.0
148,0,R,224,483.5,364.2
148,0,R,412,475.6,378.0
148,0,X,926,450.0,450.0
149,0,R,-116,1117.2,389.2
149,0,R,212,787.3,780.1
149,0,R,340,837.4,762.0
149,0,X,928,790.0,835.0
150,0,R,-113,1083.0,414.8
150,0,R,171,1125.0,562.8
150,0,R,347,1134.3,586.7
150,0,X,643,1080.0,660.0
151,0,R,-115,859.7,337.8
151,0,R,173,290.0,150.8
151,0,R,261,264.2,98.5
151,0,R,405,255.0,69.3
151,0,X,1489,220.0,130.0
152,0,R,-119,1062.8,443.2
152,0,R,193,480.2,463.0
152,0,R,301,474.3,404.4
152,0,X,1093,450.0,450.0
153,0,R,-115,1120.3,357.0
153,0,R,225,781.7,830.4
153,0,R,349,827.9,793.7
153,0,R,1229,903.2,352.5
153,0,X,1289,790.0,835.0
154,0,R,-120,1022.9,201.3
154,0,R,232,452.9,863.1
154,0,R,344,415.6,887.4
154,0,R,1404,749.7,387.0
154,0,X,1348,395.0,925.0
155,0,R,-110,1058.4,252.1
155,0,R,206,1682.0,64.6
155,0,R,778,1684.9,42.1
155,0,X,1342,1630.0,135.0
156,0,R,-116,858.9,340.8
156,0,R,196,1328.9,901.5
156,0,R,316,1418.8,964.0
156,0,X,1568,1370.0,1060.0
157,0,R,-107,686.1,161.4
157,0,R,149,916.8,163.5
157,0,X,833,870.0,235.0
158,0,R,-109,551.1,356.9
