trial, person, eye, t0, x, y
90,0,L,348,1426.4,931.3
90,0,L,528,1434.0,950.5
90,0,X,1340,1370.0,1060.0
91,0,L,-118,887.7,408.3
91,0,L,222,822.5,770.6
91,0,X,1358,790.0,835.0
92,0,L,-117,812.0,765.3
92,0,L,123,976.3,335.4
92,0,L,267,1610.2,604.9
92,0,L,443,1625.6,631.8
92,0,X,1935,1580.0,710.0
93,0,L,-124,975.3,384.7
93,0,L,192,318.8,208.4
93,0,L,296,248.0,60.5
93,0,X,1432,220.0,130.0
94,0,L,-110,1169.5,447.1
94,0,L,162,1128.8,636.4
94,0,L,294,1124.4,589.9
94,0,X,1038,1080.0,660.0
95,0,L,-120,975.2,305.2
95,0,L,184,911.1,131.6
95,0,L,420,885.1,134.5
95,0,L,528,901.6,126.6
95,0,L,752,889.0,121.2
95,0,X,1156,870.0,235.0
96,0,L,-119,1101.2,414.6
96,0,L,121,1138.2,905.3
96,0,L,257,399.6,889.8
96,0,L,537,384.5,911.0
96,0,L,1277,383.1,897.6
96,0,X,2181,395.0,925.0
97,0,L,-111,1086.1,466.5
97,0,L,157,1308.3,291.6
97,0,L,277,1302.4,236.0
97,0,L,577,1308.2,240.5
97,0,X,1173,1290.0,310.0
98,0,L,-117,1274.6,716.7
98,0,L,183,1632.4,214.6
98,0,L,283,1668.4,119.0
98,0,L,419,1665.0,47.5
98,0,X,2037,1630.0,135.0
99,0,L,-122,885.6,410.9
99,0,L,162,492.6,463.0
99,0,L,278,436.3,426.2
99,0,L,782,448.9,397.9
99,0,X,1106,450.0,450.0
100,0,L,-118,963.4,410.3
100,0,L,210,1085.7,678.0
100,0,L,326,1084.3,624.4
100,0,X,942,1080.0,660.0
101,0,L,-116,852.8,307.5
101,0,L,224,1648.0,104.7
101,0,L,340,1660.1,47.5
101,0,X,1264,1630.0,135.0
102,0,L,-111,583.2,540.9
102,0,L,161,844.0,248.4
102,0,L,273,866.0,153.8
102,0,X,1389,870.0,235.0
103,0,L,-120,974.8,408.1
103,0,L,164,804.3,783.9
103,0,L,1264,979.0,344.5
103,0,X,1308,790.0,835.0
104,0,L,59,704.6,226.7
104,0,L,219,237.2,68.3
104,0,L,863,207.8,43.5
104,0,L,971,230.5,41.9
104,0,X,1447,220.0,130.0
105,0,L,-111,1043.5,358.5
105,0,L,85,735.6,665.8
105,0,L,213,493.8,491.6
105,0,L,349,460.8,414.8
105,0,X,1541,450.0,450.0
106,0,L,-118,931.0,296.3
106,0,L,146,1314.9,256.9
106,0,L,274,1349.7,237.3
106,0,L,482,1346.7,208.3
106,0,X,1038,1290.0,310.0
107,0,L,-120,400.3,384.0
107,0,L,200,1377.5,824.0
107,0,L,264,1384.9,918.8
107,0,L,324,1451.1,1072.6
107,0,L,624,1441.8,1118.9
107,0,L,844,1449.4,1121.8
107,0,L,1756,1227.6,934.8
107,0,L,1796,1211.4,886.0
107,0,X,1764,1370.0,1060.0
108,0,L,-103,443.2,137.0
108,0,L,205,1561.6,483.3
108,0,L,325,1601.4,476.5
108,0,L,781,1575.5,468.4
108,0,X,1429,1580.0,710.0
109,0,L,-113,833.4,123.6
109,0,L,211,431.2,660.0
109,0,L,331,412.2,720.5
109,0,X,1380,395.0,925.0
110,0,L,-108,942.0,62.0
110,0,L,196,902.3,64.7
110,0,L,504,904.4,72.9
110,0,X,1013,870.0,235.0
111,0,L,-113,1031.8,398.2
111,0,L,171,457.7,417.6
111,0,L,271,471.0,353.1
111,0,L,563,466.3,335.3
111,0,X,932,450.0,450.0
112,0,L,-110,1103.7,212.1
112,0,L,198,1127.1,580.7
112,0,X,991,1080.0,660.0
113,0,L,-119,916.7,362.4
113,0,L,221,1432.1,978.9
113,0,L,365,1443.2,979.9
113,0,L,1281,1076.6,310.8
113,0,X,1270,1370.0,1060.0
114,0,L,-122,890.2,237.7
114,0,L,102,736.7,337.7
114,0,L,250,816.7,811.3
114,0,X,1147,790.0,835.0
115,0,L,-112,931.2,409.6
115,0,L,148,1484.8,493.1
115,0,L,268,1653.5,655.0
115,0,L,536,1642.4,667.8
115,0,L,1860,959.0,246.9
115,0,X,1797,1580.0,710.0
116,0,L,-113,909.6,154.8
116,0,L,83,788.3,699.3
116,0,L,215,1400.9,283.8
116,0,L,339,1350.6,238.4
116,0,L,579,1342.1,226.5
